"Region",Average Wage,"Agriculture, Forestry, Animal, Husbandry, and Fishery",Mining,Manufacturing,"Production, and Supply of Electricity,Heat, Gas,and Water",Construction,Wholesale and Retail Trades,"Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, Software and Information Technology",Financial Intermediate,Real Estate,Leasing and Business Services,Scientific Research and Technical Services,"Management of Water Conservancy, Environment and Public Facilities","Services to Households, Repair and other Services",Education,Health and Social Services,"Culture, Sports and Entertainment","Public Management, Social Security and Social Organization"
  Beijing       ,218312,76654,197469,188602,220232,161172,199716,159018,69455,330135,357192,124451,179496,236855,125387,87629,230965,251981,236493,197846
  Tianjin       ,138007,96097,193887,119879,196345,127402,125704,128026,45783,183684,201690,99338,99351,217952,105617,54548,149140,176468,133261,142373
  Hebei         ,94818,69655,106884,88100,140598,86269,74339,108463,52765,137412,125780,72311,68219,121616,46857,59602,99772,103504,85770,84034
  Shanxi        ,95025,59581,124277,80540,115131,86540,85568,110202,46909,114701,111392,59693,69421,99828,44188,57276,93047,94660,73147,79235
  Inner Mongolia,108856,82918,196182,110819,137753,78573,95212,117244,52797,131580,129609,56585,76518,111981,53989,54045,110236,110565,96222,98103
  Liaoning      ,97330,26105,109027,93900,103915,80285,83730,104293,42311,145153,122661,74356,70437,133070,50966,57449,105994,106856,87979,94852
  Jilin         ,94937,63165,104620,103288,116867,71403,82046,99700,46303,109923,115172,66233,69695,120708,46350,43770,100625,108891,80903,84872
  Heilongjiang  ,95750,54853,122568,92129,104694,74524,87211,105335,45627,103841,105062,55230,89125,113566,48986,45028,106987,109095,77725,91624
  Shanghai      ,229337,107870,360794,175688,272347,162683,241787,177369,67565,363745,442860,135170,227968,281661,108043,99399,235503,254760,206752,262453
  Jiangsu       ,125102,67261,150448,113582,171988,84491,119615,120293,61114,196104,216999,97457,93365,171206,90941,93628,156922,167041,127246,166014
  Zhejiang      ,133045,95044,107327,108026,178209,79719,139543,130065,65371,296276,219310,101291,91790,186407,91039,75730,166068,198037,150143,177400
  Anhui         ,103688,65541,149675,95640,148159,80764,92812,104417,54836,133985,152955,78689,69358,136621,47549,65079,119779,136840,97730,117886
  Fujian        ,108520,79383,89918,93196,149565,75673,110445,121439,55675,165488,178790,90760,93004,146922,73153,76832,129492,164846,112808,128140
  Jiangxi       ,92794,58563,87296,78999,99422,69509,83764,107129,48404,114977,136854,76055,74020,118645,45208,48474,104152,124536,92763,108489
  Shandong      ,107131,69137,143460,94524,137881,87232,86752,115462,57295,144716,131105,77248,84510,127863,58618,57472,124519,132962,111057,116560
  Henan         ,84156,53599,107431,75178,122306,69071,75662,101760,49171,107987,147227,69956,62903,97744,42470,40068,83020,101133,78775,81089
  Hubei         ,109227,63351,137350,95738,160295,89175,87446,117358,50705,157175,151817,81826,89680,161074,78680,54535,116242,140527,108294,122004
  Hunan         ,97015,62461,76366,91588,123361,77149,82358,104658,51869,146253,138760,79190,73778,123027,66987,85200,98761,127551,116331,98212
  Guangdong     ,131418,83936,213297,104424,187410,92727,117872,137150,57881,243832,267444,99128,107547,181616,83890,70693,153345,197354,136749,161104
  Guangxi       ,96184,80331,77217,79309,135205,75788,88327,109881,46888,141988,145943,79985,71223,112992,62400,56347,91957,120491,90062,100442
  Hainan        ,114572,67172,172817,100756,149434,86162,122405,141500,65790,231021,169637,84992,143495,141814,56463,60523,114177,131695,98467,110893
  Chongqing     ,113653,76405,118449,101745,127438,80678,99036,106411,56821,170118,166984,83919,78125,156008,79576,71359,139334,158423,106083,129911
  Sichuan       ,110160,85299,159113,99675,135500,80698,96458,118242,55068,160257,149098,85844,79693,146232,72529,61230,116527,138142,105808,117329
  Guizhou       ,102010,63124,94589,107315,142977,88303,103104,108204,50173,147771,170227,79532,70991,118820,56098,50941,98825,119350,87443,93321
  Yunnan        ,106769,58351,101160,100645,156234,81528,104887,116549,51946,133597,153189,80681,65903,126509,60138,51862,116750,119497,99493,104940
  Xizang         ,165004,82426,132431,102972,143982,95576,140531,143691,75472,213532,271731,85934,129220,141995,78683,83668,185945,160758,147543,179437
  Shaanxi       ,106969,72573,158775,101092,140130,91351,86731,115305,50844,207975,144563,80012,74447,142532,60116,52535,102288,105843,82433,92113
  Gansu         ,99124,76382,140388,97020,112778,72672,81888,110187,49936,116925,106770,57901,66435,123998,63820,60859,109294,101666,89269,102066
  Qinghai       ,121457,51608,186666,100763,144765,115039,90714,129914,52794,157986,159142,58372,70146,130796,70213,63365,132767,128265,97365,127938
  Ningxia       ,117681,61550,206495,97399,161003,100198,80115,110800,53792,156124,139473,73686,68079,120829,65895,79474,111737,135092,95864,110765
  Xinjiang      ,112305,66231,195631,99565,152921,98395,100700,130662,54516,134907,159968,64878,76654,133384,68159,62465,118364,132404,107619,97415