"Year",Average Wage,"Agriculture, Forestry, Animal, Husbandry, and Fishery",Mining,Manufacturing,"Production, and Supply of Electricity, Heat, Gas, and Water",Construction,Wholesale and Retail Trades,"Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, Software and Information Technology",Financial Intermediate,Real Estate,Leasing and Business Services,Scientific Research and Technical Services,"Management of Water Conservancy, Environment and Public Facilities","Services to Households, Repair and other Services",Education,Health and Social Services,"Culture, Sports and Entertainment","Public Management, Social Security and Social Organization"
2005,18200,8207,20449,15934,24750,14112,15256,20911,13876,38799,29229,20253,21233,27155,14322,15747,18259,20808,22670,20234
2010,36539,16717,44196,30916,47309,27529,33635,40466,23382,64436,70146,35870,39566,56376,25544,28206,38968,40232,41428,38242
2011,41799,19469,52230,36665,52723,32103,40654,47078,27486,70918,81109,42837,46976,64252,28868,33169,43194,46206,47878,42062
2012,46769,22687,56946,41650,58202,36483,46340,53391,31267,80510,89743,46764,53162,69254,32343,35135,47734,52564,53558,46074
2013,51483,25820,60138,46431,67085,42072,50308,57993,34044,90915,99653,51048,62538,76602,36123,38429,51950,57979,59336,49259
2014,56360,28356,61677,51369,73339,45804,55838,63416,37264,100845,108273,55568,67131,82259,39198,41882,56580,63267,64375,53110
2015,62029,31947,59404,55324,78886,48886,60328,68822,40806,112042,114777,60244,72489,89410,43528,44802,66592,71624,72764,62323
2016,67569,33612,60544,59470,83863,52082,65061,73650,43382,122478,117418,65497,76782,96638,47750,47577,74498,80026,79875,70959
2017,74318,36504,69500,64452,90348,55568,71201,80225,45751,133150,122851,69277,81393,107815,52229,50552,83412,89648,87803,80372
2018,82413,36466,81429,72088,100162,60501,80551,88508,48260,147678,129837,75281,85147,123343,56670,55343,92383,98118,98621,87932
2019,90501,39340,91068,78147,107733,65580,89047,97050,50346,161352,131405,80157,88190,133459,61158,60232,97681,108903,107708,94369
2020,97379,48540,96674,82783,116728,69986,96521,100642,48833,177544,133390,83807,92924,139851,63914,60722,106474,115449,112081,104487
2021,106837,53819,108467,92459,125332,75762,107735,109851,53631,201506,150843,91143,102537,151776,65802,65193,111392,126828,117329,111361
2022,114029,58976,121522,97528,132964,78295,115408,115345,53995,220418,174341,90346,106500,163486,68256,65478,120422,135222,121151,117440
2023,120698,62952,135025,103932,143594,85804,124362,122705,58094,231810,197663,91932,109264,171447,68656,68919,124067,143818,127334,117108