"Year",Average Wage,"Agriculture, Forestry, Animal, Husbandry, and Fishery",Mining,Manufacturing,"Production, and Supply of Electricity,Heat, Gas,and Water",Construction,Wholesale and Retail Trades,"Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, Software and Information Technology",Financial Intermediate,Real Estate,Leasing and Business Services,Scientific Research and Technical Services,"Management of Water Conservancy, Environment and Public Facilities","Services to Households, Repair and other Services",Education,Health and Social Services,"Culture, Sports and Entertainment"
2010,20759,16370,20981,20090,18834,22228,19928,21989,17531,31226,30513,23228,23879,28886,19607,18350,21862,21571,20012
2011,24556,19223,25519,24138,22091,26108,22791,25949,20882,35562,28664,27017,27115,31320,22958,20543,23636,25590,22666
2012,28752,21973,29684,28215,25478,30911,27233,28159,23933,39518,32696,30778,31796,36598,26402,24068,26625,29173,26177
2013,32706,24645,33081,32035,29597,34882,30604,33141,27352,44060,37253,35038,36243,42854,31241,27483,31521,33862,30402
2014,36390,26862,35819,35653,33184,38838,33894,38891,29483,51044,41553,37826,39414,47462,33847,30580,33678,37205,32024
2015,39589,28869,38192,38948,34631,41710,36635,40495,31889,57719,44898,41767,43770,50441,37222,33203,37040,40558,34974
2016,42833,31301,39600,42115,38605,44803,39589,42705,34712,63578,50366,46063,47836,54764,40099,35824,39508,43993,38228
2017,45761,34272,41236,44991,41510,46944,42359,45852,36886,70415,52289,48025,51394,58102,41061,38417,43263,47296,41201
2018,49575,36375,44096,49275,44239,50879,45177,50547,39632,76326,62943,51393,53382,61876,42409,41058,46228,52343,44592
2019,53604,37760,49675,52858,49633,54167,48722,54006,42424,85301,76107,54416,57248,67642,44444,43926,50761,57140,49289
2020,57727,38956,54563,57910,54268,57309,53018,57313,42258,101281,82930,55759,58155,72233,43287,44536,48443,60689,51300
2021,62884,41442,62665,63946,59271,60430,58071,62411,46817,114618,95416,58288,64490,77708,43366,47193,52579,67750,56171
2022,65237,42605,68509,67352,61870,60918,60630,66059,47547,123894,110304,56435,65731,81569,44714,47760,52771,71060,56769
2023,68340,44465,75648,71762,64826,63857,63701,68051,51583,129215,124812,56119,67107,82277,47504,49907,55775,74462,59407